Date,Price,Open,High,Low,Vol.,Change %
3/1/2023,22700,22000,22700,21950,1550000,0.22075055187638082
4/1/2023,22650,22850,22850,22550,1640000,-0.875273523
5/1/2023,22850,22750,23000,22650,2100000,-1.50862069
6/1/2023,23200,23100,23350,22600,3270000,0.43290043290042934
9/1/2023,23100,23350,23350,22950,1750000,-1.492537313
10/1/2023,23450,23250,23450,22950,3060000,-3.099173554
11/1/2023,24200,23600,24450,23450,5340000,-1.224489796
12/1/2023,24500,24200,24650,24200,2880000,1.449275362318847
13/1/2023,24150,24600,24800,24150,2150000,-3.4
16/1/2023,25000,24150,25000,24150,3540000,-1.185770751
17/1/2023,25300,25050,25450,24950,3980000,-0.784313725
18/1/2023,25500,25300,25700,25100,5440000,-1.923076923
19/1/2023,26000,25500,26000,25450,5621600,-1.328273245
27/1/2023,26350,26350,26500,25900,3760000,3.740157480314954
30/1/2023,25400,26300,26350,25400,5400000,-2.307692308
31/1/2023,26000,24600,26000,24600,3210000,3.1746031746031855
1/2/2023,25200,26100,26250,25100,3480000,0.8000000000000007
2/2/2023,25000,25150,25600,24800,2880000,2.0408163265306145
3/2/2023,24500,25000,25250,24400,9530000,-1.606425703
6/2/2023,24900,24400,25150,24150,2400000,1.2195121951219523
7/2/2023,24600,25000,25100,24400,2470000,-0.202839757
8/2/2023,24650,24800,25050,24550,1920000,0.612244898
9/2/2023,24500,24650,25100,24500,3230000,1.2396694214876103
10/2/2023,24200,24600,24750,24200,2010000,0.8333333333333304
13/2/2023,24000,24000,25850,23800,2480000,0.6289308176100628
14/2/2023,23850,24100,24100,23800,1440000,-2.851323829
15/2/2023,24550,23900,24650,23750,3330000,-1.008064516
16/2/2023,24800,24800,24800,24400,1620000,0
17/2/2023,24800,24850,24950,24550,1720000,-3.875968992
20/2/2023,25800,24700,25800,24650,4900000,0.78125
21/2/2023,25600,25800,27600,25500,1610000,3.0181086519114775
22/2/2023,24850,25200,25550,24850,2650000,-2.165354331
23/2/2023,25400,24750,25500,24250,3860000,3.2520325203251987
24/2/2023,24600,25000,25300,24550,2230000,1.4432989690721598
27/2/2023,24250,24500,26300,24100,2990000,-0.614754098
28/2/2023,24400,24500,24750,24250,6020000,-2.982107356
1/3/2023,25150,24350,25200,24000,2390000,0.3992015968063978
2/3/2023,25050,25000,25450,25000,3340000,2.244897959183678
3/3/2023,24500,25050,25300,24500,2400000,0.4098360655737654
6/3/2023,24400,24500,25100,24300,4750000,-0.408163265
7/3/2023,24500,24300,25000,22600,4470000,-0.809716599
8/3/2023,24700,24600,25000,24250,2630000,-2.564102564
9/3/2023,25350,25000,25450,24900,3740000,1.8072289156626509
10/3/2023,24900,25050,25200,24750,2420000,1.6326530612244872
13/3/2023,24500,24750,24950,24350,4020000,1.8711018711018657
14/3/2023,24050,24550,24700,23950,6770000,-3.024193548
15/3/2023,24800,24600,24800,24450,1960000,1.6393442622950838
16/3/2023,24400,24500,24750,24150,2500000,0.2053388090349051
17/3/2023,24350,24400,26100,24350,1170000,1.4583333333333393
20/3/2023,24000,24200,24350,24000,2460000,-0.826446281
21/3/2023,24200,24400,24400,23850,1490000,0.20703933747412417
22/3/2023,24150,24350,24350,24050,1860000,-1.428571429
23/3/2023,24500,24100,24600,23950,7080000,-0.203665988
24/3/2023,24550,24600,24850,24500,1680000,0.4089979550102152
27/3/2023,24450,24600,24750,24350,2460000,0
28/3/2023,24450,24650,24800,24450,8290000,0.2049180327868827
29/3/2023,24400,24500,24600,24350,15180000,-0.81300813
30/3/2023,24600,24600,24700,24550,2120000,-1.6
31/3/2023,25000,24700,25250,24650,5880000,-0.99009901
3/4/2023,25250,25050,26750,25000,9840000,0.3976143141153132
