Date,Price,Open,High,Low,Vol.,Change %
3/1/2023,18000,17200,18000,17200,7540000,0.278551532
4/1/2023,17950,18100,18250,17950,7750000,-1.373626374
5/1/2023,18200,18000,18250,17800,7750000,-1.086956522
6/1/2023,18400,19450,19450,17250,10650000,0.821917808
9/1/2023,18250,18500,18500,18200,5950000,0.274725275
10/1/2023,18200,18200,18350,18100,6400000,-0.273972603
11/1/2023,18250,18250,18450,18200,6470000,0
12/1/2023,18250,18300,18400,18150,7330000,0
13/1/2023,18250,18400,18550,18250,8000000,-1.351351351
16/1/2023,18500,18300,18550,18200,6250000,-4.639175258
17/1/2023,19400,18700,19400,18600,18900000,-0.767263427
18/1/2023,19550,19500,19550,19200,9910000,-0.255102041
19/1/2023,19600,19500,19750,19400,11168200,-0.507614213
27/1/2023,19700,19900,20100,19650,9200000,2.337662338
30/1/2023,19250,19800,19800,19250,12660000,-1.534526854
31/1/2023,19550,19250,20550,18750,14400000,3.439153439
1/2/2023,18900,19700,19950,18900,15740000,-0.263852243
2/2/2023,18950,19100,19100,18550,12210000,1.88172043
3/2/2023,18600,18950,19100,18600,10020000,-0.534759358
6/2/2023,18700,18600,18900,18500,6640000,1.907356948
7/2/2023,18350,18850,18850,18350,7680000,-0.27173913
8/2/2023,18400,18500,18700,18250,5590000,-0.27100271
9/2/2023,18450,18400,18700,18350,6330000,0.819672131
10/2/2023,18300,18550,18600,18300,5990000,2.808988764
13/2/2023,17800,18400,19550,17750,9290000,-0.280112045
14/2/2023,17850,18000,18150,17800,6600000,-0.833333333
15/2/2023,18000,17750,18250,17750,6520000,-1.369863014
16/2/2023,18250,18100,18350,18050,4740000,0.828729282
17/2/2023,18100,18250,18400,18100,4790000,-4.232804233
20/2/2023,18900,18100,18900,18100,8600000,1.612903226
21/2/2023,18600,18050,20200,18050,6330000,1.917808219
22/2/2023,18250,18400,18500,18250,9880000,0.550964187
23/2/2023,18150,18000,18200,17700,16330000,2.542372881
24/2/2023,17700,18150,18250,17700,10070000,2.608695652
27/2/2023,17250,17700,18900,17250,7650000,0.583090379
28/2/2023,17150,17250,17760,17150,5810000,-2.279202279
1/3/2023,17550,16050,18450,16050,5830000,0.862068966
2/3/2023,17400,17650,17700,17350,3840000,1.457725948
3/3/2023,17150,17500,17500,17150,4740000,-1.152737752
6/3/2023,17350,17400,17700,17300,6410000,-0.573065903
7/3/2023,17450,17300,17990,17300,6010000,-0.56980057
8/3/2023,17550,17500,17800,17200,6870000,-1.404494382
9/3/2023,17800,17650,17950,17600,8060000,0.281690141
10/3/2023,17750,17800,17800,17600,5290000,1.428571429
13/3/2023,17500,17350,17600,17350,8530000,1.744186047
14/3/2023,17200,17500,17550,17200,8470000,-3.370786517
15/3/2023,17800,17600,17850,17500,6280000,2.005730659
16/3/2023,17450,17700,17700,17400,5750000,0
17/3/2023,17450,18000,18650,17450,3980000,0.867052023
20/3/2023,17300,17600,17600,17300,5990000,-0.288184438
21/3/2023,17350,17450,17500,17200,8040000,-0.287356322
22/3/2023,17400,17500,17550,17350,5290000,0
23/3/2023,17400,17300,17450,17300,3780000,-1.971830986
24/3/2023,17750,17700,17950,17600,16310000,-1.114206128
27/3/2023,17950,17800,18000,17700,8040000,-0.277777778
28/3/2023,18000,18050,18300,18000,12390000,-1.639344262
29/3/2023,18300,18150,18400,18100,10440000,0.273972603
30/3/2023,18250,18400,18500,18250,8980000,0
31/3/2023,18250,18300,18400,18150,10540000,-2.406417112
3/4/2023,18700,18600,19160,18400,19790000,-0.266666667
4/4/2023,18750,18750,18800,18600,11310000,-0.265957447
5/4/2023,18800,18750,18850,18600,9890000,1.621621622
6/4/2023,18500,18850,18900,18500,12040000,-0.537634409
7/4/2023,18600,18500,18600,18350,8540000,0
10/4/2023,18600,18700,19000,18600,13110000,-0.8
11/4/2023,18750,18600,18800,18450,6640000,0.806451613
12/4/2023,18600,18900,19870,18550,7740000,0.269541779
13/4/2023,18550,18700,18750,18500,5960000,1.366120219
14/4/2023,18300,18600,18700,18300,7850000,0.273972603
17/4/2023,18250,18200,18350,18150,5540000,0.550964187
18/4/2023,18150,18350,18400,18050,5960000,0.276243094
19/4/2023,18100,18250,18300,18100,4160000,-0.275482094
20/4/2023,18150,18100,18200,18050,3120000,0.55401662
21/4/2023,18050,18150,18250,18050,3860000,-1.095890411
24/4/2023,18250,18050,18300,18000,5300000,0
25/4/2023,18250,18400,18400,18150,4560000,-0.544959128
26/4/2023,18350,18250,18610,18100,4490000,-0.27173913
27/4/2023,18400,18400,18450,18300,3620000,-0.27100271
28/4/2023,18450,18500,18550,18350,7025800,-11.84902054
4/5/2023,20930,21102.5,21217.5,20872.5,5830000,0.552486188
5/5/2023,20815,20930,20987.5,20815,4010000,-0.821917808
8/5/2023,20987.5,20930,21045,20872.5,4220000,-0.273224044
9/5/2023,21045,21045,21102.5,20930,4520000,-1.081081081
10/5/2023,21275,21045,21275,20987.5,6850000,0
11/5/2023,21275,21390,21447.5,21217.5,7400000,-0.804289544
12/5/2023,21447.5,21332.5,21447.5,21160,7280000,-1.061007958
15/5/2023,21677.5,21562.5,21965,21505,17770000,0.265957447
16/5/2023,21620,21677.5,21792.5,21505,6750000,1.89701897
17/5/2023,21217.5,21562.5,21620,21217.5,9090000,-0.806451613
18/5/2023,21390,21332.5,21447.5,21217.5,6660000,-0.268096515
19/5/2023,21447.5,21390,21505,21332.5,3790000,-1.061007958
22/5/2023,21677.5,21505,21735,21447.5,8260000,0.533333333
23/5/2023,21562.5,21735,21850,21505,7430000,0.806451613
24/5/2023,21390,21620,21677.5,21332.5,5550000,0.81300813
25/5/2023,21217.5,21390,21390,21217.5,4730000,0
26/5/2023,21217.5,21275,21275,21160,3900000,-1.6
29/5/2023,21562.5,21390,21562.5,21275,5970000,0
30/5/2023,21562.5,21620,21677.5,21447.5,6590000,0.806451613
31/5/2023,21390,21620,21677.5,21390,6880000,-1.063829787
1/6/2023,21620,21390,21620,21332.5,8440000,-4.568527919
2/6/2023,22655,21965,22827.5,21907.5,32990000,-0.505050505
5/6/2023,22770,22885,23115,22712.5,19460000,-3.178484108
6/6/2023,23517.5,22885,23517.5,22770,22790000,0.491400491
7/6/2023,23402.5,23517.5,23632.5,23287.5,13440000,1.75
8/6/2023,23000,23402.5,23517.5,23000,13680000,-1.234567901
9/6/2023,23287.5,23115,23287.5,23000,10360000,-0.491400491
12/6/2023,23402.5,23345,23460,23000,9000000,2.777777778
13/6/2023,22770,22882.125,22882.125,22601.755,10600000,0.253164557
14/6/2023,22712.5,23115,23230,22712.5,10940000,0.253807107
15/6/2023,22655,22712.5,22827.5,22597.5,9500000,0
16/6/2023,22655,22827.5,23230,22655,13940000,0.767263427
19/6/2023,22482.5,22655,22770,22482.5,7040000,-0.508905852
20/6/2023,22597.5,22540,22597.5,22367.5,5490000,-1.007556675
21/6/2023,22827.5,22655,22827.5,22597.5,6050000,-0.251256281
22/6/2023,22885,23115,23402.5,22885,14810000,-1.485148515
23/6/2023,23230,23172.5,23345,23057.5,12310000,0
26/6/2023,23230,23230,23632.5,22942.5,10580000,0.497512438
27/6/2023,23115,23287.5,23345,23000,10740000,-2.898550725
28/6/2023,23805,23230,23920,23115,20850000,1.97044335
29/6/2023,23345,23805,23805,23345,14000000,0.495049505
30/6/2023,23230,23345,23460,23172.5,6680000,0
3/7/2023,23230,23345,23402.5,23115,9790000,-0.737100737
4/7/2023,23402.5,23230,23402.5,23115,6880000,-0.245098039
5/7/2023,23460,23575,23747.5,23345,13000000,0.99009901
6/7/2023,23230,23517.5,23632.5,23172.5,15190000,-1.222493888
7/7/2023,23517.5,23230,23517.5,23115,11920000,-1.445783133
10/7/2023,23862.5,23690,23977.5,23632.5,16790000,-2.122641509
11/7/2023,24380,23862.5,24380,23862.5,17350000,0.952380952
12/7/2023,24150,24380,24495,24035,13110000,14.45513904
13/7/2023,21099.97,21049.945,21250.045,20899.985,20630000,13.13656836
14/7/2023,18650,18650,18750,18400,18530000,0.268817204
17/7/2023,18600,18750,18850,18500,11010000,0
18/7/2023,18600,18600,18650,18450,7520000,1.086956522
19/7/2023,18400,18600,18700,18400,11680000,-0.27100271
20/7/2023,18450,18400,18500,18300,6450000,-1.072386059
21/7/2023,18650,18550,18650,18400,8390000,-0.533333333
24/7/2023,18750,18650,18750,18550,8950000,-0.265957447
25/7/2023,18800,18750,19100,18700,9540000,0.266666667
26/7/2023,18750,18800,18850,18650,5930000,0.806451613
27/7/2023,18600,18750,18800,18500,9460000,-0.534759358
28/7/2023,18700,18550,18700,18550,7020000,-0.795755968
31/7/2023,18850,18850,18900,18700,9980000,0
1/8/2023,18850,18900,19350,18850,14320000,-0.264550265
2/8/2023,18900,18850,18950,18750,6160000,0.265251989
3/8/2023,18850,18950,19100,18800,11080000,-0.789473684
4/8/2023,19000,18850,19150,18800,14890000,-1.80878553
7/8/2023,19350,19150,19400,19050,15210000,0.78125
8/8/2023,19200,19500,19500,19150,9240000,0.261096606
9/8/2023,19150,19200,19250,19000,10700000,1.322751323
10/8/2023,18900,19200,19200,18900,9210000,0
11/8/2023,18900,19000,19050,18650,8670000,-0.263852243
14/8/2023,18950,18950,19100,18750,8090000,0
15/8/2023,18950,18950,19000,18800,5610000,-0.263157895
16/8/2023,19000,18900,19200,18800,9750000,0.795755968
17/8/2023,18850,19000,19000,18850,7910000,4.143646409
18/8/2023,18100,18800,18800,17900,20420000,-0.275482094
21/8/2023,18150,18000,18350,17850,9220000,-0.274725275
22/8/2023,18200,18300,18300,17750,8060000,1.111111111
23/8/2023,18000,18300,18300,18000,5800000,-1.369863014
24/8/2023,18250,18100,18350,18000,6694724,0.828729282
25/8/2023,18100,18200,18200,18100,4949826,-0.549450549
28/8/2023,18200,18250,18300,18050,7010000,-0.273972603
29/8/2023,18250,18250,18350,18150,9460000,-0.815217391
30/8/2023,18400,18300,18500,18250,6960000,-0.540540541
31/8/2023,18500,18400,18550,18400,7465245,-3.394255875
5/9/2023,19150,18600,19250,18550,21470000,-0.519480519
6/9/2023,19250,19200,19250,18900,14254740,-0.259067358
7/9/2023,19300,19250,19600,19150,22864949,1.047120419
8/9/2023,19100,19300,19350,19100,11315730,1.866666667
11/9/2023,18750,19350,19350,18750,15040000,-2.597402597
12/9/2023,19250,18850,19250,18750,10920000,1.049868766
13/9/2023,19050,19300,19350,18900,15686060,-0.522193211
14/9/2023,19150,19100,19350,19000,17117221,-1.288659794
15/9/2023,19400,19200,19700,19100,27331990,1.305483029
18/9/2023,19150,19400,19400,19000,11790000,0.789473684
19/9/2023,19000,19150,19200,18900,11540000,-1.041666667
20/9/2023,19200,19050,19200,18950,11253800,1.319261214
21/9/2023,18950,19200,19350,18850,12866720,1.336898396
22/9/2023,18700,18750,18800,18300,26585551,3.314917127
25/9/2023,18100,18700,18750,18100,13430000,-0.821917808
26/9/2023,18250,18150,18450,18100,11090000,-1.351351351
27/9/2023,18500,18150,18500,18150,8883820,0
28/9/2023,18500,18350,18550,18200,11535920,0
29/9/2023,18500,18500,18650,18500,4717030,-0.537634409
2/10/2023,18600,18550,18700,18400,4520000,3.047091413
3/10/2023,18050,18400,18500,18000,11260000,-0.550964187
4/10/2023,18150,18050,18250,17950,7412475,0.55401662
5/10/2023,18050,18200,18300,18000,8043175,-0.550964187
6/10/2023,18150,18050,18200,17950,4916317,-0.819672131
9/10/2023,18300,18150,18300,18000,11160000,-0.81300813
10/10/2023,18450,18400,18550,18350,7370000,-0.27027027
11/10/2023,18500,18400,18500,18300,7393804,0.817438692
12/10/2023,18350,18500,18550,18350,5794420,-0.54200542
