Date,Price,Open,High,Low,Vol.,Change %
3/1/2023,10400,9960,10450,9950,14690000,0.9708737864077666
4/1/2023,10300,10400,10600,10300,10150000,-0.483091787
5/1/2023,10350,10400,10450,10200,9000000,-2.358490566
6/1/2023,10600,10350,11000,10300,33210000,0.952380952
9/1/2023,10500,10700,10800,10500,12620000,0
10/1/2023,10500,10550,10650,10400,11620000,-0.473933649
11/1/2023,10550,10600,10800,10500,13230000,0.4761904761904745
12/1/2023,10500,10650,10650,10500,12490000,-1.869158879
13/1/2023,10700,10600,11000,10600,22140000,0
16/1/2023,10700,10750,10800,10650,11130000,-3.603603604
17/1/2023,11100,10800,11150,10800,30800000,0
18/1/2023,11100,11150,11250,11050,16360000,-0.448430493
19/1/2023,11150,11100,11350,11000,25392199,-0.446428571
27/1/2023,11200,11350,11400,11150,19050000,2.752293577981657
30/1/2023,10900,11200,11250,10900,28980000,-0.456621005
31/1/2023,10950,10800,11000,10600,23640000,3.301886792452824
1/2/2023,10600,11100,11200,10550,24700000,1.4354066985645897
2/2/2023,10450,10600,10700,10400,17530000,0
3/2/2023,10450,10500,10650,10400,10100000,0
6/2/2023,10450,10450,10550,10350,7040000,2.9556650246305383
7/2/2023,10150,10500,10550,10100,15620000,0
8/2/2023,10150,10200,10300,10000,10450000,0
9/2/2023,10150,10200,10250,10100,5340000,0.4950495049504955
10/2/2023,10100,10150,10300,10050,7300000,4.0164778578784865
13/2/2023,9710,10200,10200,9710,15470000,-1.321138211
14/2/2023,9840,9890,9940,9820,5820000,-1.501501502
15/2/2023,9990,9890,10150,9850,8910000,-1.089108911
16/2/2023,10100,10100,10150,9970,6450000,0
17/2/2023,10100,10100,10250,10000,10180000,-3.80952381
20/2/2023,10500,10100,10550,10100,14630000,0.9615384615384581
21/2/2023,10400,10600,10650,10350,12010000,2.970297029702973
22/2/2023,10100,10200,10300,10100,13270000,0
23/2/2023,10100,10050,10100,9910,13940000,1.4056224899598346
24/2/2023,9960,10150,10200,9950,5690000,1.7364657814096018
27/2/2023,9790,9960,10600,9780,8830000,0.10224948875254825
28/2/2023,9780,9650,9930,9650,5570000,-1.807228916
1/3/2023,9960,9840,10000,9690,12940000,0.606060606
2/3/2023,9900,10050,10100,9900,3510000,1.2269938650306678
