Date,Price,Open,High,Low,Vol.,Change %
3/1/2023,23500,22500,23600,22500,16250000,0.858369099
4/1/2023,23300,23600,24100,23300,18040000,-3.719008264
5/1/2023,24200,23400,24250,23400,19220000,-0.206185567
6/1/2023,24250,24200,25100,23500,24070000,-1.622718053
9/1/2023,24650,24600,25000,24200,13240000,-1.20240481
10/1/2023,24950,24650,25300,24150,14760000,1.012145749
11/1/2023,24700,25250,25400,24700,10080000,-1.002004008
12/1/2023,24950,24900,24950,24550,7150000,-1.383399209
13/1/2023,25300,25150,25450,24950,13350000,-0.784313725
16/1/2023,25500,25400,25550,25000,7930000,-3.95480226
17/1/2023,26550,25500,26550,25500,14390000,-0.932835821
18/1/2023,26800,26550,26850,26550,8510000,0
19/1/2023,26800,26550,27000,26500,12375500,0.562851782
27/1/2023,26650,27100,27400,26650,8530000,3.094777563
30/1/2023,25850,26500,26650,25850,18540000,-4.259259259
31/1/2023,27000,25500,27000,25200,23280000,5.263157895
1/2/2023,25650,27100,27300,25400,16200000,-1.912045889
2/2/2023,26150,25700,26350,25400,18430000,0.383877159
3/2/2023,26050,26350,27150,26050,30630000,1.361867704
6/2/2023,25700,26100,26400,25600,19360000,-0.194174757
7/2/2023,25750,25900,26300,25550,19760000,3
8/2/2023,25000,25900,25950,25000,28190000,2.249488753
9/2/2023,24450,25200,25700,24200,37340000,3.382663848
10/2/2023,23650,24500,24800,23650,16170000,-1.867219917
13/2/2023,24100,24000,24450,23350,16330000,-1.229508197
14/2/2023,24400,24500,24850,24050,9250000,4.496788009
15/2/2023,23350,24100,24600,22950,33360000,-2.30125523
16/2/2023,23900,23750,24250,23450,15370000,-2.049180328
17/2/2023,24400,24600,24900,24350,17980000,-5.058365759
20/2/2023,25700,24300,25700,24200,20150000,0.587084149
21/2/2023,25550,25800,26250,25350,15310000,3.441295547
22/2/2023,24700,25100,25500,24700,18520000,-1.2
23/2/2023,25000,24600,25000,24050,14250000,2.880658436
24/2/2023,24300,25050,25050,24300,8460000,2.966101695
27/2/2023,23600,24300,24300,23600,11830000,-1.666666667
28/2/2023,24000,23600,24500,23550,5170000,-5.511811024
1/3/2023,25400,23600,25400,22100,20170000,-0.78125
2/3/2023,25600,25400,25700,25200,11120000,2.4
3/3/2023,25000,25650,25750,25000,11810000,0.200400802
