Date,Price,Open,High,Low,Vol.,Change %
3/1/2023,82600,80200,82600,80200,1090000,-0.241545894
4/1/2023,82800,82900,82900,81800,837900,-1.428571429
5/1/2023,84000,82800,84000,82500,1080000,-0.709219858
6/1/2023,84600,84200,89800,82300,1080000,-2.646720368
9/1/2023,86900,85800,86900,84800,1670000,-0.458190149
10/1/2023,87300,86200,89900,86200,2110000,2.58519389
11/1/2023,85100,87300,87300,85100,983000,0.353773585
12/1/2023,84800,85200,85200,83800,1880000,-1.165501166
13/1/2023,85800,85200,86500,85200,822000,-1.718213058
16/1/2023,87300,86000,88500,86000,735200,-2.348993289
17/1/2023,89400,88500,89400,87300,644600,-0.666666667
18/1/2023,90000,90000,91000,89400,834000,-3.225806452
19/1/2023,93000,89500,96000,87500,1776800,0
27/1/2023,93000,93000,94600,91500,1550000,3.448275862
30/1/2023,89900,92100,92500,89800,1050000,-2.282608696
31/1/2023,92000,89900,93000,87800,1350000,3.254769921
1/2/2023,89100,92000,92500,89100,1140000,-1.655629139
2/2/2023,90600,88600,92000,88600,984600,-2.580645161
3/2/2023,93000,90300,93000,89100,893400,-3.125
6/2/2023,96000,92600,96300,91500,1150000,4.347826087
7/2/2023,92000,95300,95500,92000,1200000,-2.335456476
8/2/2023,94200,92100,96200,92100,884800,1.290322581
9/2/2023,93000,93800,95000,93000,759400,-1.587301587
10/2/2023,94500,94500,94500,92800,647700,2.494577007
13/2/2023,92200,95900,95900,92000,797100,-0.324324324
14/2/2023,92500,93500,93500,91200,1140000,-0.537634409
15/2/2023,93000,92500,94200,91200,899300,0.649350649
16/2/2023,92400,93000,94000,92200,776600,-0.64516129
17/2/2023,93000,93000,93300,92000,918900,-0.852878465
20/2/2023,93800,93000,94500,93000,1100000,-0.845665962
21/2/2023,94600,93800,98000,93800,573100,1.720430108
22/2/2023,93000,94200,94300,92500,1030000,-0.321543408
23/2/2023,93300,93000,94000,91200,1030000,-0.213903743
24/2/2023,93500,93000,94000,90000,631400,1.520086862
27/2/2023,92100,93000,93500,91700,463600,-0.432432432
28/2/2023,92500,92800,93700,92500,377700,-0.430570506
1/3/2023,92900,93000,95000,92200,676100,-0.321888412
2/3/2023,93200,93000,93800,91800,984700,2.530253025
3/3/2023,90900,91800,92800,90900,798600,-1.72972973
6/3/2023,92500,91000,92500,90900,587500,1.536772777
7/3/2023,91100,91000,93200,90700,931900,-2.043010753
8/3/2023,93000,91900,93000,90600,750100,0
9/3/2023,93000,92000,93400,91700,1100000,0.977198697
10/3/2023,92100,92200,92500,91500,707800,0.655737705
13/3/2023,91500,92000,92000,90800,759200,0.549450549
14/3/2023,91000,91000,91200,90500,863700,-0.437636761
15/3/2023,91400,91600,92000,91100,807800,0.43956044
16/3/2023,91000,91000,92000,89500,806000,7.438016529
17/3/2023,84700,91500,91500,84700,1400000,-0.470035253
20/3/2023,85100,89000,89500,85100,1030000,-1.61849711
21/3/2023,86500,85400,89900,85400,1060000,-2.808988764
22/3/2023,89000,86600,89900,86600,1060000,-1.874310915
23/3/2023,90700,88800,90700,87300,849500,1.91011236
24/3/2023,89000,91000,91000,88900,630000,-2.197802198
27/3/2023,91000,89000,91000,88000,730100,-0.871459695
28/3/2023,91800,90800,92900,90100,845800,-0.541711809
29/3/2023,92300,92500,92500,90500,422800,-0.431499461
30/3/2023,92700,92300,93200,92000,409700,1.422319475
31/3/2023,91400,92800,93200,90500,950600,-1.614639397
3/4/2023,92900,91400,92900,91200,710900,0.97826087
4/4/2023,92000,92800,92900,91600,269900,-0.108577633
5/4/2023,92100,92300,92300,91100,336000,0.986842105
6/4/2023,91200,91500,92100,91200,376300,1.333333333
7/4/2023,90000,91000,91100,89500,747200,1.123595506
10/4/2023,89000,90000,90000,89000,639300,0.907029478
11/4/2023,88200,89000,90000,88200,751600,-0.113250283
12/4/2023,88300,88200,90000,88000,475900,0.113378685
13/4/2023,88200,88300,88500,87800,491000,-0.226244344
14/4/2023,88400,88300,89100,88200,414800,0
17/4/2023,88400,88400,88500,87800,488900,0.454545455
18/4/2023,88000,88300,88600,87500,695100,-0.564971751
19/4/2023,88500,88100,88700,88000,416900,0.226500566
20/4/2023,88300,88800,88800,88000,257800,0.914285714
21/4/2023,87500,88000,88100,87400,356500,-0.455062571
24/4/2023,87900,88000,88500,87000,505800,-0.453001133
25/4/2023,88300,88200,88500,87500,545800,-0.897867565
26/4/2023,89100,87900,89500,87900,649900,-1
27/4/2023,90000,88700,90500,88400,580400,-0.552486188
28/4/2023,90500,90000,90500,88800,740700,-13.41245808
4/5/2023,104518.5,106290,106290,104518.5,496000,-1.44766147
5/5/2023,106053.8,104518.5,106171.9,104164.2,225700,-3.440860215
8/5/2023,109833,106290,110069.2,106053.8,1500000,0.758396533
9/5/2023,109006.3,109833,110895.9,109006.3,563400,0.326086957
10/5/2023,108652,108533.9,109833,108179.6,417400,1.098901099
11/5/2023,107471,108652,108770.1,107471,505600,-1.939655172
12/5/2023,109596.8,107471,109596.8,107234.8,710500,1.199563795
15/5/2023,108297.7,108652,109833,107707.2,450500,-0.971922246
16/5/2023,109360.6,108652,109951.1,107825.3,666100,-0.215517241
17/5/2023,109596.8,109242.5,109833,109006.3,572700,-2.315789474
18/5/2023,112195,109714.9,113376,108888.2,1680000,0.8492569
19/5/2023,111250.2,111604.5,112076.9,109360.6,439900,1.181525242
22/5/2023,109951.1,109833,110895.9,108888.2,622300,0.323275862
23/5/2023,109596.8,109833,110541.6,108770.1,568800,0.215982721
24/5/2023,109360.6,109596.8,109596.8,108533.9,342200,-0.643776824
25/5/2023,110069.2,109360.6,111014,107943.4,606600,1.304347826
26/5/2023,108652,110069.2,110423.5,108652,283700,-1.181525242
29/5/2023,109951.1,108652,112195,108652,590500,-1.481481481
30/5/2023,111604.5,109951.1,111958.8,109124.4,564500,0.531914894
31/5/2023,111014,110895.9,111132.1,109951.1,380100,0.106496273
1/6/2023,110895.9,111722.6,111722.6,110069.2,646300,-1.05374078
2/6/2023,112076.9,110895.9,112195,110187.3,737800,-3.163265306
5/6/2023,115738,112431.2,116564.7,112431.2,1300000,-1.01010101
6/6/2023,116919,115738,116919,113966.5,759500,2.06185567
