Date,Price,Open,High,Low,Vol.,Change %
2023-01-10,18200.0,18200.0,18350.0,18100.0,6400000.0,-0.2739726027397249
2023-01-11,18250.0,18250.0,18450.0,18200.0,6470000.0,0.0
2023-01-12,18250.0,18300.0,18400.0,18150.0,7330000.0,0.0
2023-01-13,18250.0,18400.0,18550.0,18250.0,8000000.0,-1.3513513513513487
2023-01-16,18500.0,18300.0,18550.0,18200.0,6250000.0,-4.639175257731953
2023-01-17,19400.0,18700.0,19400.0,18600.0,18900000.0,-0.7672634271099765
2023-01-18,19550.0,19500.0,19550.0,19200.0,9910000.0,-0.25510204081632404
2023-01-19,19600.0,19500.0,19750.0,19400.0,11168200.0,-0.5076142131979711
2023-01-27,19700.0,19900.0,20100.0,19650.0,9200000.0,2.3376623376623273
2023-01-30,19250.0,19800.0,19800.0,19250.0,12660000.0,-1.534526854219953
2023-01-31,19550.0,19250.0,20550.0,18750.0,14400000.0,3.4391534391534417
2023-02-01,18900.0,19700.0,19950.0,18900.0,15740000.0,-0.26385224274406704
2023-02-02,18950.0,19100.0,19100.0,18550.0,12210000.0,1.8817204301075252
2023-02-03,18600.0,18950.0,19100.0,18600.0,10020000.0,-0.5347593582887722
2023-02-06,18700.0,18600.0,18900.0,18500.0,6640000.0,1.9073569482288777
2023-02-07,18350.0,18850.0,18850.0,18350.0,7680000.0,-0.27173913043477826
2023-02-08,18400.0,18500.0,18700.0,18250.0,5590000.0,-0.27100271002710175
2023-02-09,18450.0,18400.0,18700.0,18350.0,6330000.0,0.8196721311475308
2023-02-10,18300.0,18550.0,18600.0,18300.0,5990000.0,2.8089887640449396
2023-02-13,17800.0,18400.0,19550.0,17750.0,9290000.0,-0.2801120448179262
2023-02-14,17850.0,18000.0,18150.0,17800.0,6600000.0,-0.8333333333333304
2023-02-15,18000.0,17750.0,18250.0,17750.0,6520000.0,-1.3698630136986356
2023-02-16,18250.0,18100.0,18350.0,18050.0,4740000.0,0.8287292817679592
2023-02-17,18100.0,18250.0,18400.0,18100.0,4790000.0,-4.232804232804233
2023-02-20,18900.0,18100.0,18900.0,18100.0,8600000.0,1.6129032258064502
2023-02-21,18600.0,18050.0,20200.0,18050.0,6330000.0,1.9178082191780854
2023-02-22,18250.0,18400.0,18500.0,18250.0,9880000.0,0.5509641873278293
2023-02-23,18150.0,18000.0,18200.0,17700.0,16330000.0,2.5423728813559254
2023-02-24,17700.0,18150.0,18250.0,17700.0,10070000.0,2.60869565217392
2023-02-27,17250.0,17700.0,18900.0,17250.0,7650000.0,0.5830903790087438
2023-02-28,17150.0,17250.0,17760.0,17150.0,5810000.0,-2.279202279202275
2023-03-01,17550.0,16050.0,18450.0,16050.0,5830000.0,0.8620689655172376
2023-03-02,17400.0,17650.0,17700.0,17350.0,3840000.0,1.4577259475218707
2023-03-03,17150.0,17500.0,17500.0,17150.0,4740000.0,-1.1527377521613813
2023-03-06,17350.0,17400.0,17700.0,17300.0,6410000.0,-0.5730659025787954
2023-03-07,17450.0,17300.0,17990.0,17300.0,6010000.0,-0.5698005698005715
2023-03-08,17550.0,17500.0,17800.0,17200.0,6870000.0,-1.4044943820224698
2023-03-09,17800.0,17650.0,17950.0,17600.0,8060000.0,0.28169014084507005
2023-03-10,17750.0,17800.0,17800.0,17600.0,5290000.0,1.4285714285714235
2023-03-13,17500.0,17350.0,17600.0,17350.0,8530000.0,1.744186046511631
2023-03-14,17200.0,17500.0,17550.0,17200.0,8470000.0,-3.3707865168539297
2023-03-15,17800.0,17600.0,17850.0,17500.0,6280000.0,2.005730659025784
2023-03-16,17450.0,17700.0,17700.0,17400.0,5750000.0,0.0
2023-03-17,17450.0,18000.0,18650.0,17450.0,3980000.0,0.8670520231213841
2023-03-20,17300.0,17600.0,17600.0,17300.0,5990000.0,-0.2881844380403509
2023-03-21,17350.0,17450.0,17500.0,17200.0,8040000.0,-0.2873563218390829
2023-03-22,17400.0,17500.0,17550.0,17350.0,5290000.0,0.0
2023-03-23,17400.0,17300.0,17450.0,17300.0,3780000.0,-1.9718309859154903
2023-03-24,17750.0,17700.0,17950.0,17600.0,16310000.0,-1.1142061281337101
2023-03-27,17950.0,17800.0,18000.0,17700.0,8040000.0,-0.2777777777777768
2023-03-28,18000.0,18050.0,18300.0,18000.0,12390000.0,-1.6393442622950838
2023-03-29,18300.0,18150.0,18400.0,18100.0,10440000.0,0.273972602739736
2023-03-30,18250.0,18400.0,18500.0,18250.0,8980000.0,0.0
2023-03-31,18250.0,18300.0,18400.0,18150.0,10540000.0,-2.4064171122994638
2023-04-03,18700.0,18600.0,19160.0,18400.0,19790000.0,-0.2666666666666706
2023-04-04,18750.0,18750.0,18800.0,18600.0,11310000.0,-0.26595744680850686
2023-04-05,18800.0,18750.0,18850.0,18600.0,9890000.0,1.6216216216216273
2023-04-06,18500.0,18850.0,18900.0,18500.0,12040000.0,-0.5376344086021501
2023-04-07,18600.0,18500.0,18600.0,18350.0,8540000.0,0.0
2023-04-10,18600.0,18700.0,19000.0,18600.0,13110000.0,-0.8000000000000007
2023-04-11,18750.0,18600.0,18800.0,18450.0,6640000.0,0.8064516129032251
2023-04-12,18600.0,18900.0,19870.0,18550.0,7740000.0,0.26954177897573484
