Date,Price,Open,High,Low,Vol.,Change %
2023-01-11,10550.0,10600.0,10800.0,10500.0,13230000.0,0.4761904761904745
2023-01-12,10500.0,10650.0,10650.0,10500.0,12490000.0,-1.869158878504673
2023-01-13,10700.0,10600.0,11000.0,10600.0,22140000.0,0.0
2023-01-16,10700.0,10750.0,10800.0,10650.0,11130000.0,-3.6036036036036
2023-01-17,11100.0,10800.0,11150.0,10800.0,30800000.0,0.0
2023-01-18,11100.0,11150.0,11250.0,11050.0,16360000.0,-0.4484304932735439
2023-01-19,11150.0,11100.0,11350.0,11000.0,25392199.0,-0.44642857142856984
2023-01-27,11200.0,11350.0,11400.0,11150.0,19050000.0,2.752293577981657
2023-01-30,10900.0,11200.0,11250.0,10900.0,28980000.0,-0.45662100456621557
2023-01-31,10950.0,10800.0,11000.0,10600.0,23640000.0,3.301886792452824
2023-02-01,10600.0,11100.0,11200.0,10550.0,24700000.0,1.4354066985645897
2023-02-02,10450.0,10600.0,10700.0,10400.0,17530000.0,0.0
2023-02-03,10450.0,10500.0,10650.0,10400.0,10100000.0,0.0
2023-02-06,10450.0,10450.0,10550.0,10350.0,7040000.0,2.9556650246305383
2023-02-07,10150.0,10500.0,10550.0,10100.0,15620000.0,0.0
2023-02-08,10150.0,10200.0,10300.0,10000.0,10450000.0,0.0
2023-02-09,10150.0,10200.0,10250.0,10100.0,5340000.0,0.4950495049504955
2023-02-10,10100.0,10150.0,10300.0,10050.0,7300000.0,4.0164778578784865
2023-02-13,9710.0,10200.0,10200.0,9710.0,15470000.0,-1.3211382113821113
2023-02-14,9840.0,9890.0,9940.0,9820.0,5820000.0,-1.501501501501501
2023-02-15,9990.0,9890.0,10150.0,9850.0,8910000.0,-1.08910891089109
2023-02-16,10100.0,10100.0,10150.0,9970.0,6450000.0,0.0
2023-02-17,10100.0,10100.0,10250.0,10000.0,10180000.0,-3.809523809523807
2023-02-20,10500.0,10100.0,10550.0,10100.0,14630000.0,0.9615384615384581
2023-02-21,10400.0,10600.0,10650.0,10350.0,12010000.0,2.970297029702973
2023-02-22,10100.0,10200.0,10300.0,10100.0,13270000.0,0.0
2023-02-23,10100.0,10050.0,10100.0,9910.0,13940000.0,1.4056224899598346
