Date,Price,Open,High,Low,Vol.,Change %
2023-01-11,85100.0,87300.0,87300.0,85100.0,983000.0,0.35377358490567
2023-01-12,84800.0,85200.0,85200.0,83800.0,1880000.0,-1.1655011655011704
2023-01-13,85800.0,85200.0,86500.0,85200.0,822000.0,-1.718213058419249
2023-01-16,87300.0,86000.0,88500.0,86000.0,735200.0,-2.348993288590606
2023-01-17,89400.0,88500.0,89400.0,87300.0,644600.0,-0.666666666666671
2023-01-18,90000.0,90000.0,91000.0,89400.0,834000.0,-3.2258064516129004
2023-01-19,93000.0,89500.0,96000.0,87500.0,1776800.0,0.0
2023-01-27,93000.0,93000.0,94600.0,91500.0,1550000.0,3.4482758620689724
2023-01-30,89900.0,92100.0,92500.0,89800.0,1050000.0,-2.2826086956521774
2023-01-31,92000.0,89900.0,93000.0,87800.0,1350000.0,3.2547699214365844
2023-02-01,89100.0,92000.0,92500.0,89100.0,1140000.0,-1.655629139072845
2023-02-02,90600.0,88600.0,92000.0,88600.0,984600.0,-2.580645161290318
2023-02-03,93000.0,90300.0,93000.0,89100.0,893400.0,-3.125
2023-02-06,96000.0,92600.0,96300.0,91500.0,1150000.0,4.347826086956519
2023-02-07,92000.0,95300.0,95500.0,92000.0,1200000.0,-2.3354564755838636
2023-02-08,94200.0,92100.0,96200.0,92100.0,884800.0,1.2903225806451646
2023-02-09,93000.0,93800.0,95000.0,93000.0,759400.0,-1.5873015873015928
2023-02-10,94500.0,94500.0,94500.0,92800.0,647700.0,2.4945770065075923
2023-02-13,92200.0,95900.0,95900.0,92000.0,797100.0,-0.324324324324321
2023-02-14,92500.0,93500.0,93500.0,91200.0,1140000.0,-0.5376344086021501
2023-02-15,93000.0,92500.0,94200.0,91200.0,899300.0,0.6493506493506551
2023-02-16,92400.0,93000.0,94000.0,92200.0,776600.0,-0.6451612903225823
2023-02-17,93000.0,93000.0,93300.0,92000.0,918900.0,-0.8528784648187626
2023-02-20,93800.0,93000.0,94500.0,93000.0,1100000.0,-0.8456659619450302
2023-02-21,94600.0,93800.0,98000.0,93800.0,573100.0,1.7204301075268713
2023-02-22,93000.0,94200.0,94300.0,92500.0,1030000.0,-0.3215434083601254
2023-02-23,93300.0,93000.0,94000.0,91200.0,1030000.0,-0.21390374331551332
2023-02-24,93500.0,93000.0,94000.0,90000.0,631400.0,1.5200868621064068
2023-02-27,92100.0,93000.0,93500.0,91700.0,463600.0,-0.432432432432428
2023-02-28,92500.0,92800.0,93700.0,92500.0,377700.0,-0.43057050592034685
2023-03-01,92900.0,93000.0,95000.0,92200.0,676100.0,-0.32188841201716833
2023-03-02,93200.0,93000.0,93800.0,91800.0,984700.0,2.53025302530252
2023-03-03,90900.0,91800.0,92800.0,90900.0,798600.0,-1.7297297297297343
2023-03-06,92500.0,91000.0,92500.0,90900.0,587500.0,1.5367727771679496
2023-03-07,91100.0,91000.0,93200.0,90700.0,931900.0,-2.043010752688168
2023-03-08,93000.0,91900.0,93000.0,90600.0,750100.0,0.0
2023-03-09,93000.0,92000.0,93400.0,91700.0,1100000.0,0.9771986970684043
2023-03-10,92100.0,92200.0,92500.0,91500.0,707800.0,0.6557377049180246
